time,cuti
1988-01-15T00:00:00Z,0.201
1988-02-15T00:00:00Z,0.751
1988-03-15T00:00:00Z,1.473
1988-04-15T00:00:00Z,0.629
1988-05-15T00:00:00Z,1.371
1988-06-15T00:00:00Z,1.663
1988-07-15T00:00:00Z,1.351
1988-08-15T00:00:00Z,0.976
1988-09-15T00:00:00Z,1.058
1988-10-15T00:00:00Z,0.525
1988-11-15T00:00:00Z,0.434
1988-12-15T00:00:00Z,0.833
1989-01-15T00:00:00Z,0.732
1989-02-15T00:00:00Z,0.965
1989-03-15T00:00:00Z,0.028
1989-04-15T00:00:00Z,0.622
1989-05-15T00:00:00Z,1.681
1989-06-15T00:00:00Z,1.179
1989-07-15T00:00:00Z,2.149
1989-08-15T00:00:00Z,1.173
1989-09-15T00:00:00Z,0.352
1989-10-15T00:00:00Z,0.578
1989-11-15T00:00:00Z,0.733
1989-12-15T00:00:00Z,0.665
1990-01-15T00:00:00Z,0.619
1990-02-15T00:00:00Z,0.936
1990-03-15T00:00:00Z,1.163
1990-04-15T00:00:00Z,1.331
1990-05-15T00:00:00Z,1.467
1990-06-15T00:00:00Z,1.229
1990-07-15T00:00:00Z,0.856
1990-08-15T00:00:00Z,0.629
1990-09-15T00:00:00Z,0.962
1990-10-15T00:00:00Z,1.135
1990-11-15T00:00:00Z,1.206
1990-12-15T00:00:00Z,1.102
1991-01-15T00:00:00Z,0.29
1991-02-15T00:00:00Z,0.36
1991-03-15T00:00:00Z,0.733
1991-04-15T00:00:00Z,1.205
1991-05-15T00:00:00Z,1.911
1991-06-15T00:00:00Z,1.409
1991-07-15T00:00:00Z,0.979
1991-08-15T00:00:00Z,0.895
1991-09-15T00:00:00Z,0.755
1991-10-15T00:00:00Z,0.746
1991-11-15T00:00:00Z,0.987
1991-12-15T00:00:00Z,0.047
1992-01-15T00:00:00Z,0.064
1992-02-15T00:00:00Z,-0.324
1992-03-15T00:00:00Z,0.185
1992-04-15T00:00:00Z,0.752
1992-05-15T00:00:00Z,1.269
1992-06-15T00:00:00Z,0.832
1992-07-15T00:00:00Z,0.932
1992-08-15T00:00:00Z,0.78
1992-09-15T00:00:00Z,0.899
1992-10-15T00:00:00Z,0.473
1992-11-15T00:00:00Z,0.468
1992-12-15T00:00:00Z,0.447
1993-01-15T00:00:00Z,-0.055
1993-02-15T00:00:00Z,-0.135
1993-03-15T00:00:00Z,0.334
1993-04-15T00:00:00Z,1.036
1993-05-15T00:00:00Z,0.189
1993-06-15T00:00:00Z,1.928
1993-07-15T00:00:00Z,1.483
1993-08-15T00:00:00Z,1.049
1993-09-15T00:00:00Z,1.13
1993-10-15T00:00:00Z,0.355
1993-11-15T00:00:00Z,0.691
1993-12-15T00:00:00Z,0.029
1994-01-15T00:00:00Z,0.259
1994-02-15T00:00:00Z,0.153
1994-03-15T00:00:00Z,0.494
1994-04-15T00:00:00Z,1.277
1994-05-15T00:00:00Z,1.066
1994-06-15T00:00:00Z,1.439
1994-07-15T00:00:00Z,0.948
1994-08-15T00:00:00Z,0.995
1994-09-15T00:00:00Z,0.64
1994-10-15T00:00:00Z,1.159
1994-11-15T00:00:00Z,0.458
1994-12-15T00:00:00Z,0.068
1995-01-15T00:00:00Z,-1.197
1995-02-15T00:00:00Z,0.3
1995-03-15T00:00:00Z,0.153
1995-04-15T00:00:00Z,1.254
1995-05-15T00:00:00Z,1.507
1995-06-15T00:00:00Z,1.274
1995-07-15T00:00:00Z,0.816
1995-08-15T00:00:00Z,1.347
1995-09-15T00:00:00Z,0.671
1995-10-15T00:00:00Z,0.925
1995-11-15T00:00:00Z,0.463
1995-12-15T00:00:00Z,-0.119
1996-01-15T00:00:00Z,0.554
1996-02-15T00:00:00Z,-0.106
1996-03-15T00:00:00Z,0.791
1996-04-15T00:00:00Z,0.581
1996-05-15T00:00:00Z,1.841
1996-06-15T00:00:00Z,2.06
1996-07-15T00:00:00Z,1.149
1996-08-15T00:00:00Z,1.315
1996-09-15T00:00:00Z,0.693
1996-10-15T00:00:00Z,0.814
1996-11-15T00:00:00Z,0.654
1996-12-15T00:00:00Z,-0.353
1997-01-15T00:00:00Z,0.197
1997-02-15T00:00:00Z,1.277
1997-03-15T00:00:00Z,1.101
1997-04-15T00:00:00Z,1.624
1997-05-15T00:00:00Z,0.522
1997-06-15T00:00:00Z,1.8
1997-07-15T00:00:00Z,1.108
1997-08-15T00:00:00Z,0.372
1997-09-15T00:00:00Z,0.672
1997-10-15T00:00:00Z,0.855
1997-11-15T00:00:00Z,-0.09
1997-12-15T00:00:00Z,0.359
1998-01-15T00:00:00Z,-0.616
1998-02-15T00:00:00Z,-0.14
1998-03-15T00:00:00Z,0.976
1998-04-15T00:00:00Z,1.1
1998-05-15T00:00:00Z,0.561
1998-06-15T00:00:00Z,1.384
1998-07-15T00:00:00Z,1.369
1998-08-15T00:00:00Z,1.4
1998-09-15T00:00:00Z,0.843
1998-10-15T00:00:00Z,0.93
1998-11-15T00:00:00Z,0.098
1998-12-15T00:00:00Z,1.259
1999-01-15T00:00:00Z,0.531
1999-02-15T00:00:00Z,0.084
1999-03-15T00:00:00Z,0.558
1999-04-15T00:00:00Z,2.313
1999-05-15T00:00:00Z,2.21
1999-06-15T00:00:00Z,2.035
1999-07-15T00:00:00Z,1.19
1999-08-15T00:00:00Z,1.201
1999-09-15T00:00:00Z,1.075
1999-10-15T00:00:00Z,0.66
1999-11-15T00:00:00Z,-0.093
1999-12-15T00:00:00Z,1.163
2000-01-15T00:00:00Z,0.107
2000-02-15T00:00:00Z,-0.15
2000-03-15T00:00:00Z,1.862
2000-04-15T00:00:00Z,0.689
2000-05-15T00:00:00Z,1.353
