time,cuti
UTC,m^2 s^(-1)
1988-01-15T00:00:00Z,-0.062
1988-02-15T00:00:00Z,0.23
1988-03-15T00:00:00Z,0.068
1988-04-15T00:00:00Z,0.065
1988-05-15T00:00:00Z,-0.004
1988-06-15T00:00:00Z,0.379
1988-07-15T00:00:00Z,0.726
1988-08-15T00:00:00Z,0.633
1988-09-15T00:00:00Z,0.451
1988-10-15T00:00:00Z,0.271
1988-11-15T00:00:00Z,-0.378
1988-12-15T00:00:00Z,0.204
1989-01-15T00:00:00Z,0.076
1989-02-15T00:00:00Z,0.004
1989-03-15T00:00:00Z,-0.437
1989-04-15T00:00:00Z,0.2
1989-05-15T00:00:00Z,0.319
1989-06-15T00:00:00Z,0.362
1989-07-15T00:00:00Z,0.406
1989-08-15T00:00:00Z,0.494
1989-09-15T00:00:00Z,0.484
1989-10-15T00:00:00Z,-0.06
1989-11-15T00:00:00Z,0.08
1989-12-15T00:00:00Z,0.124
1990-01-15T00:00:00Z,-0.429
1990-02-15T00:00:00Z,-0.103
1990-03-15T00:00:00Z,0.087
1990-04-15T00:00:00Z,0.259
1990-05-15T00:00:00Z,0.221
1990-06-15T00:00:00Z,0.3
1990-07-15T00:00:00Z,0.635
1990-08-15T00:00:00Z,0.263
1990-09-15T00:00:00Z,0.355
1990-10-15T00:00:00Z,0.108
1990-11-15T00:00:00Z,-0.019
1990-12-15T00:00:00Z,0.443
1991-01-15T00:00:00Z,-0.035
1991-02-15T00:00:00Z,-0.222
1991-03-15T00:00:00Z,0.046
1991-04-15T00:00:00Z,-0.01
1991-05-15T00:00:00Z,0.39
1991-06-15T00:00:00Z,0.603
1991-07-15T00:00:00Z,0.653
1991-08-15T00:00:00Z,0.16
1991-09-15T00:00:00Z,0.558
1991-10-15T00:00:00Z,0.381
1991-11-15T00:00:00Z,-0.199
1991-12-15T00:00:00Z,-0.098
1992-01-15T00:00:00Z,-0.719
1992-02-15T00:00:00Z,-0.212
1992-03-15T00:00:00Z,0.311
1992-04-15T00:00:00Z,-0.075
1992-05-15T00:00:00Z,0.614
1992-06-15T00:00:00Z,0.445
1992-07-15T00:00:00Z,0.551
1992-08-15T00:00:00Z,0.425
1992-09-15T00:00:00Z,0.283
1992-10-15T00:00:00Z,0.139
1992-11-15T00:00:00Z,-0.073
1992-12-15T00:00:00Z,-0.036
1993-01-15T00:00:00Z,-0.035
1993-02-15T00:00:00Z,-0.039
1993-03-15T00:00:00Z,-0.259
1993-04-15T00:00:00Z,-0.468
1993-05-15T00:00:00Z,0.034
1993-06-15T00:00:00Z,0.369
1993-07-15T00:00:00Z,0.448
1993-08-15T00:00:00Z,0.539
1993-09-15T00:00:00Z,0.371
1993-10-15T00:00:00Z,0.169
1993-11-15T00:00:00Z,0.27
1993-12-15T00:00:00Z,-0.602
1994-01-15T00:00:00Z,-0.237
1994-02-15T00:00:00Z,-0.367
1994-03-15T00:00:00Z,0.072
1994-04-15T00:00:00Z,0.135
1994-05-15T00:00:00Z,0.436
1994-06-15T00:00:00Z,0.387
1994-07-15T00:00:00Z,0.675
1994-08-15T00:00:00Z,0.308
1994-09-15T00:00:00Z,0.334
1994-10-15T00:00:00Z,0.114
1994-11-15T00:00:00Z,-0.163
1994-12-15T00:00:00Z,-0.731
1995-01-15T00:00:00Z,-0.737
1995-02-15T00:00:00Z,-0.169
1995-03-15T00:00:00Z,-0.549
1995-04-15T00:00:00Z,0.276
1995-05-15T00:00:00Z,0.518
1995-06-15T00:00:00Z,0.346
1995-07-15T00:00:00Z,0.463
1995-08-15T00:00:00Z,0.36
1995-09-15T00:00:00Z,0.236
1995-10-15T00:00:00Z,0.207
1995-11-15T00:00:00Z,-0.429
1995-12-15T00:00:00Z,-0.639
1996-01-15T00:00:00Z,-0.086
1996-02-15T00:00:00Z,-0.509
1996-03-15T00:00:00Z,-0.028
1996-04-15T00:00:00Z,-0.48
1996-05-15T00:00:00Z,0.429
1996-06-15T00:00:00Z,0.551
1996-07-15T00:00:00Z,0.623
1996-08-15T00:00:00Z,0.395
1996-09-15T00:00:00Z,0.267
1996-10-15T00:00:00Z,0.134
1996-11-15T00:00:00Z,0.097
1996-12-15T00:00:00Z,-0.591
1997-01-15T00:00:00Z,-0.194
1997-02-15T00:00:00Z,0.185
1997-03-15T00:00:00Z,-0.285
1997-04-15T00:00:00Z,0.119
1997-05-15T00:00:00Z,0.148
1997-06-15T00:00:00Z,0.33
1997-07-15T00:00:00Z,0.56
1997-08-15T00:00:00Z,0.135
1997-09-15T00:00:00Z,-0.08
1997-10-15T00:00:00Z,-0.152
1997-11-15T00:00:00Z,-0.467
1997-12-15T00:00:00Z,-0.132
1998-01-15T00:00:00Z,-0.952
1998-02-15T00:00:00Z,-0.982
1998-03-15T00:00:00Z,0.076
1998-04-15T00:00:00Z,0.18
1998-05-15T00:00:00Z,0.341
1998-06-15T00:00:00Z,0.527
1998-07-15T00:00:00Z,0.377
1998-08-15T00:00:00Z,0.525
1998-09-15T00:00:00Z,0.5
1998-10-15T00:00:00Z,0.021
1998-11-15T00:00:00Z,-0.722
1998-12-15T00:00:00Z,-0.078
1999-01-15T00:00:00Z,-0.288
1999-02-15T00:00:00Z,-1.252
1999-03-15T00:00:00Z,-0.404
1999-04-15T00:00:00Z,0.553
1999-05-15T00:00:00Z,0.497
1999-06-15T00:00:00Z,0.258
1999-07-15T00:00:00Z,0.465
1999-08-15T00:00:00Z,0.306
1999-09-15T00:00:00Z,0.64
1999-10-15T00:00:00Z,0.102
1999-11-15T00:00:00Z,-0.641
1999-12-15T00:00:00Z,-0.008
2000-01-15T00:00:00Z,-0.293
2000-02-15T00:00:00Z,-0.266
2000-03-15T00:00:00Z,0.109
2000-04-15T00:00:00Z,0.209
2000-05-15T00:00:00Z,0.251
2000-06-15T00:00:00Z,0.566
2000-07-15T00:00:00Z,0.427
2000-08-15T00:00:00Z,0.487
2000-09-15T00:00:00Z,0.251
2000-10-15T00:00:00Z,0.108
2000-11-15T00:00:00Z,0.222
2000-12-15T00:00:00Z,-0.314
2001-01-15T00:00:00Z,-0.409
2001-02-15T00:00:00Z,0.232
2001-03-15T00:00:00Z,0.541
2001-04-15T00:00:00Z,0.182
2001-05-15T00:00:00Z,0.471
2001-06-15T00:00:00Z,0.418
2001-07-15T00:00:00Z,0.776
2001-08-15T00:00:00Z,0.161
2001-09-15T00:00:00Z,0.43
2001-10-15T00:00:00Z,0.108
2001-11-15T00:00:00Z,-0.725
2001-12-15T00:00:00Z,-0.257
2002-01-15T00:00:00Z,-0.312
2002-02-15T00:00:00Z,0.089
2002-03-15T00:00:00Z,0.236
2002-04-15T00:00:00Z,0.678
2002-05-15T00:00:00Z,0.428
2002-06-15T00:00:00Z,0.363
2002-07-15T00:00:00Z,0.652
2002-08-15T00:00:00Z,0.543
2002-09-15T00:00:00Z,0.344
2002-10-15T00:00:00Z,0.343
2002-11-15T00:00:00Z,-0.867
2002-12-15T00:00:00Z,-1.022
2003-01-15T00:00:00Z,-0.534
2003-02-15T00:00:00Z,0.116
2003-03-15T00:00:00Z,-0.463
2003-04-15T00:00:00Z,-0.25
2003-05-15T00:00:00Z,0.454
2003-06-15T00:00:00Z,0.918
2003-07-15T00:00:00Z,0.68
2003-08-15T00:00:00Z,0.513
2003-09-15T00:00:00Z,0.501
2003-10-15T00:00:00Z,-0.318
2003-11-15T00:00:00Z,-0.213
2003-12-15T00:00:00Z,-0.5
2004-01-15T00:00:00Z,-0.336
2004-02-15T00:00:00Z,-0.266
2004-03-15T00:00:00Z,0.233
2004-04-15T00:00:00Z,0.117
2004-05-15T00:00:00Z,0.279
2004-06-15T00:00:00Z,0.535
2004-07-15T00:00:00Z,0.486
2004-08-15T00:00:00Z,0.364
2004-09-15T00:00:00Z,0.404
2004-10-15T00:00:00Z,0.029
2004-11-15T00:00:00Z,0.576
2004-12-15T00:00:00Z,-0.13
2005-01-15T00:00:00Z,-0.362
2005-02-15T00:00:00Z,0.299
2005-03-15T00:00:00Z,-0.271
2005-04-15T00:00:00Z,0.146
2005-05-15T00:00:00Z,-0.019
2005-06-15T00:00:00Z,0.539
2005-07-15T00:00:00Z,0.832
2005-08-15T00:00:00Z,0.539
2005-09-15T00:00:00Z,0.545
2005-10-15T00:00:00Z,-0.298
2005-11-15T00:00:00Z,0.026
2005-12-15T00:00:00Z,-0.574
2006-01-15T00:00:00Z,-0.428
2006-02-15T00:00:00Z,0.19
2006-03-15T00:00:00Z,-0.648
2006-04-15T00:00:00Z,0.361
2006-05-15T00:00:00Z,0.69
2006-06-15T00:00:00Z,0.912
2006-07-15T00:00:00Z,0.842
2006-08-15T00:00:00Z,0.751
2006-09-15T00:00:00Z,0.297
2006-10-15T00:00:00Z,0.249
2006-11-15T00:00:00Z,-0.416
2006-12-15T00:00:00Z,-0.481
2007-01-15T00:00:00Z,0.102
2007-02-15T00:00:00Z,-0.176
2007-03-15T00:00:00Z,0.033
2007-04-15T00:00:00Z,0.061
2007-05-15T00:00:00Z,0.712
2007-06-15T00:00:00Z,0.086
2007-07-15T00:00:00Z,0.432
2007-08-15T00:00:00Z,0.424
2007-09-15T00:00:00Z,0.345
