time,cuti
2002-01-15T00:00:00Z,0.51
2002-02-15T00:00:00Z,0.465
2002-03-15T00:00:00Z,0.957
2002-04-15T00:00:00Z,0.568
2002-05-15T00:00:00Z,0.728
2002-06-15T00:00:00Z,0.418
2002-07-15T00:00:00Z,0.307
2002-08-15T00:00:00Z,0.372
2002-09-15T00:00:00Z,0.44
2002-10-15T00:00:00Z,0.315
2002-11-15T00:00:00Z,0.266
2002-12-15T00:00:00Z,0.381
2003-01-15T00:00:00Z,0.303
2003-02-15T00:00:00Z,0.371
2003-03-15T00:00:00Z,0.794
2003-04-15T00:00:00Z,0.716
2003-05-15T00:00:00Z,0.534
2003-06-15T00:00:00Z,0.513
2003-07-15T00:00:00Z,0.317
2003-08-15T00:00:00Z,0.792
2003-09-15T00:00:00Z,0.611
2003-10-15T00:00:00Z,0.312
2003-11-15T00:00:00Z,0.428
2003-12-15T00:00:00Z,0.269
2004-01-15T00:00:00Z,0.418
2004-02-15T00:00:00Z,0.574
2004-03-15T00:00:00Z,0.55
2004-04-15T00:00:00Z,0.672
2004-05-15T00:00:00Z,0.972
2004-06-15T00:00:00Z,0.49
2004-07-15T00:00:00Z,0.555
2004-08-15T00:00:00Z,0.362
2004-09-15T00:00:00Z,0.43
2004-10-15T00:00:00Z,0.248
2004-11-15T00:00:00Z,0.372
2004-12-15T00:00:00Z,0.132
2005-01-15T00:00:00Z,0.314
2005-02-15T00:00:00Z,0.167
2005-03-15T00:00:00Z,0.481
2005-04-15T00:00:00Z,0.815
2005-05-15T00:00:00Z,0.749
2005-06-15T00:00:00Z,0.843
2005-07-15T00:00:00Z,0.314
2005-08-15T00:00:00Z,0.224
2005-09-15T00:00:00Z,0.519
2005-10-15T00:00:00Z,0.5
2005-11-15T00:00:00Z,0.468
2005-12-15T00:00:00Z,0.347
2006-01-15T00:00:00Z,0.29
2006-02-15T00:00:00Z,0.29
2006-03-15T00:00:00Z,0.692
2006-04-15T00:00:00Z,0.241
2006-05-15T00:00:00Z,0.525
2006-06-15T00:00:00Z,0.577
2006-07-15T00:00:00Z,0.311
2006-08-15T00:00:00Z,0.478
2006-09-15T00:00:00Z,0.555
2006-10-15T00:00:00Z,0.378
2006-11-15T00:00:00Z,0.354
2006-12-15T00:00:00Z,0.375
2007-01-15T00:00:00Z,0.522
2007-02-15T00:00:00Z,0.626
2007-03-15T00:00:00Z,0.6
2007-04-15T00:00:00Z,0.965
2007-05-15T00:00:00Z,0.629
2007-06-15T00:00:00Z,0.581
2007-07-15T00:00:00Z,0.397
2007-08-15T00:00:00Z,0.382
2007-09-15T00:00:00Z,0.62
2007-10-15T00:00:00Z,0.648
2007-11-15T00:00:00Z,0.201
2007-12-15T00:00:00Z,0.57
2008-01-15T00:00:00Z,0.208
2008-02-15T00:00:00Z,0.484
2008-03-15T00:00:00Z,1.011
2008-04-15T00:00:00Z,0.76
2008-05-15T00:00:00Z,0.576
2008-06-15T00:00:00Z,0.487
2008-07-15T00:00:00Z,0.286
2008-08-15T00:00:00Z,0.262
2008-09-15T00:00:00Z,0.377
2008-10-15T00:00:00Z,0.408
2008-11-15T00:00:00Z,0.293
2008-12-15T00:00:00Z,0.209
2009-01-15T00:00:00Z,-0.045
2009-02-15T00:00:00Z,0.38
2009-03-15T00:00:00Z,0.441
2009-04-15T00:00:00Z,0.682
2009-05-15T00:00:00Z,0.305
2009-06-15T00:00:00Z,0.461
2009-07-15T00:00:00Z,0.24
2009-08-15T00:00:00Z,0.343
2009-09-15T00:00:00Z,0.38
2009-10-15T00:00:00Z,0.485
2009-11-15T00:00:00Z,0.377
2009-12-15T00:00:00Z,0.178
2010-01-15T00:00:00Z,0.288
2010-02-15T00:00:00Z,0.403
2010-03-15T00:00:00Z,0.67
2010-04-15T00:00:00Z,0.813
2010-05-15T00:00:00Z,0.719
2010-06-15T00:00:00Z,0.381
2010-07-15T00:00:00Z,0.277
2010-08-15T00:00:00Z,0.451
2010-09-15T00:00:00Z,0.386
2010-10-15T00:00:00Z,0.25
