stock_code,stock_country,stock_region,cyer_stock,stock_jurisdiction,fishery_type_2,age,brood_year,year,ocean_cohort
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2008,2010,631.9643
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2008,2011,436.0208
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2008,2012,331.0927
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2008,2013,121.562
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2009,2011,4471.608
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2009,2012,3102.514
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2009,2013,2244.363
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2009,2014,725.8103
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2010,2012,7867.984
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2010,2013,5446.385
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2010,2014,3751.73
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2010,2015,1791.311
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2011,2013,14324.85
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2011,2014,9939.832
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2011,2015,7410.029
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2011,2016,2141.57
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2012,2014,7651.708
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2012,2015,5295.567
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2012,2016,3011.639
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2012,2017,888.0018
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2013,2015,2140.407
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2013,2016,1477.697
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2013,2017,1002.289
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2013,2018,377.9687
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2014,2016,3476.258
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2014,2017,2307.365
