"","stock_code","brood_year","age","Mat.Rate","Marine.Survival","Stock.Country","stock_name","area","ecoregion","RunType","Hatchery","Age","Wild","Code","Code2","calendar_year","season","location","sst_winter","sst_spring","CUTI_winter","CUTI_spring","seasonal_STI","Beuti_winter","Beuti_spring","BI","stand_BI"
"20","ATN",2007,2,0,0.015293597,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2008,"Summer/Fall","45N",-1.59507041725243,-1.59733972230205,0.439505814895234,1.41138562792609,-1.04973143616903,-0.00460449961617966,2.74702248796057,0.562790698,0.56361710641242
"21","ATN",2008,2,0,0.006962693,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2009,"Summer/Fall","45N",-1.90613839987886,-0.495042774573303,1.3481184161617,0.154778551199125,-1.25792451849901,1.19999695571153,1.54012131111872,0.739534884,1.63832785736905
"22","ATN",2009,2,0,0.01807823,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2010,"Summer/Fall","45N",0.866870512309286,0.414584682929116,-1.21011123788951,-0.926545416593429,1.69841725058664,-0.845412178280522,-0.605695616242849,0.246511628,-1.35954950248279
"23","ATN",2010,2,0.0025,0.03257474,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2011,"Summer/Fall","45N",-0.660575546405558,-0.0414189218085984,0.354819591864573,-0.622885946185931,0.199427057810818,-0.0495615773994463,-0.0964072952237141,0.446511628,-0.14342944186973
"24","ATN",2011,2,0,0.058825247,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2012,"Summer/Fall","45N",-0.960355661602417,-0.0464597565717371,-1.17306101531359,-0.995671149694323,0.449258756606789,-2.5659167869432,-0.751096078432063,0.330232558,-0.85047599015188
"25","ATN",2012,2,0.002,0.031883949,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2013,"Summer/Fall","45N",-0.625515836152253,0.511516082863139,0.734143299189407,-0.371070775604104,-0.550068038577093,0.505644542709237,-0.155572908827304,0.576744186,0.648462689774037
"26","ATN",2013,2,0.0057,0.009111182,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2014,"Summer/Fall","45N",-0.702504076875735,1.26664919988783,-0.454992415866119,-0.13159948593315,0.699090455402759,-0.896712892806212,-0.475763288329083,0.325581395,-0.878757853299286
"27","ATN",2014,2,0.0441,0.014437722,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2015,"Summer/Fall","45N",2.75301174844701,2.1724689626693,-0.155062042632529,1.54223076558135,-0.425152189179108,0.698849653060023,0.601205560599004,0.413953488,-0.341402477820972
"28","ATN",2015,2,2e-04,0.01873672,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2016,"Summer/Fall","45N",1.87037888557907,2.58417681278593,-2.18400280274211,0.273279807943514,0.032872591946838,-0.169401149772632,0.269994135425967,0.237209302,-1.4161132287776
"29","ATN",2016,2,0.0026,0.014023824,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2017,"Summer/Fall","45N",0.129544339517016,1.10626316488517,-0.959581161423805,-1.34870614374532,0.407620140140794,-0.46493187888165,-0.239100833914724,0.479069767,0.0545435880009114
