longitude,latitude,Location
-107,21,Bakun
-113,24,Bakun
-116,27,Bakun
-119,30,Bakun
-122,33,Bakun
-125,36,Bakun
-125,39,Bakun
-125,42,Bakun
-125,45,Bakun
-125,48,Bakun
-131,51,Bakun
-134,54,Bakun
-137,57,Bakun
-146,60,Bakun
-149,60,Bakun
